[2016-05-16 13:32:46,041] [INFO] [DefaultHttpClientConnectionOperator.java:142] Connecting to image.mp3.zdn.vn/115.84.183.84:80
[2016-05-16 13:32:46,050] [INFO] [DefaultHttpClientConnectionOperator.java:151] Connection established to image.mp3.zdn.vn/115.84.183.84:80
[2016-05-16 13:32:46,105] [INFO] [QOSBaoMoi.java:279] 200 - http://image.mp3.zdn.vn/banner/8/6/865a92fc260d6a4fcf8f88d08355f8c2_1462939451.jpg
[2016-05-16 13:32:46,109] [INFO] [DefaultHttpClientConnectionOperator.java:142] Connecting to image.mp3.zdn.vn/115.84.183.84:80
[2016-05-16 13:32:46,113] [INFO] [DefaultHttpClientConnectionOperator.java:151] Connection established to image.mp3.zdn.vn/115.84.183.84:80
[2016-05-16 13:32:46,194] [INFO] [QOSBaoMoi.java:279] 200 - http://image.mp3.zdn.vn/banner/e/5/e5dbbbdbfc3b3a4aaee18f0e36697e9b_1462848320.jpg
[2016-05-16 13:32:46,392] [INFO] [DefaultHttpClientConnectionOperator.java:142] Connecting to static.mp3.zdn.vn/120.138.69.18:80
[2016-05-16 13:32:46,394] [INFO] [DefaultHttpClientConnectionOperator.java:151] Connection established to static.mp3.zdn.vn/120.138.69.18:80
[2016-05-16 13:32:46,434] [INFO] [QOSBaoMoi.java:427] 200 - http://static.mp3.zdn.vn/skins/zmp3-v4.1/js/jquery-2.1.0.min.js
[2016-05-16 13:32:46,439] [INFO] [DefaultHttpClientConnectionOperator.java:142] Connecting to static.mp3.zdn.vn/120.138.69.18:80
[2016-05-16 13:32:46,442] [INFO] [DefaultHttpClientConnectionOperator.java:151] Connection established to static.mp3.zdn.vn/120.138.69.18:80
[2016-05-16 13:32:46,474] [INFO] [QOSBaoMoi.java:427] 200 - http://static.mp3.zdn.vn/skins/zmp3-v4.1/plugins/jquery.mousewheel.min.js
[2016-05-16 13:32:46,477] [INFO] [DefaultHttpClientConnectionOperator.java:142] Connecting to static.mp3.zdn.vn/120.138.69.18:80
[2016-05-16 13:32:46,479] [INFO] [DefaultHttpClientConnectionOperator.java:151] Connection established to static.mp3.zdn.vn/120.138.69.18:80
[2016-05-16 13:32:46,523] [INFO] [QOSBaoMoi.java:427] 200 - http://static.mp3.zdn.vn/skins/zmp3-v4.1/plugins/jquery.cookie.js
[2016-05-16 13:32:46,527] [INFO] [DefaultHttpClientConnectionOperator.java:142] Connecting to static.adtimaserver.vn/120.138.69.8:80
[2016-05-16 13:32:46,530] [INFO] [DefaultHttpClientConnectionOperator.java:151] Connection established to static.adtimaserver.vn/120.138.69.8:80
[2016-05-16 13:32:46,588] [INFO] [QOSBaoMoi.java:427] 200 - http://static.adtimaserver.vn/resource/js/adtima_ads_zingmp3.2.js
